"order_id","source","customer_id","payment_id","voucher_id","product_id","website","order_status","voucher_status","payment_status","order_date","payment_date"
20771583,services,10432878,23974630,20627711,109718,VVNL,PAID,EXPIRED,PAID,2018-07-12 17:33:04.000,2018-07-13 08:12:33.000
27622273,services,7247832,31603820,,120531,VVNL,PAID,,PAID,2019-10-25 23:47:04.000,2019-10-25 23:48:37.000
33378861,services,13128212,37658983,32198021,118353,VVNL,PAID,EXPIRED,PAID,2021-01-22 11:52:08.000,2021-01-22 11:57:17.000
10692997,services,1683201,12112832,10305426,82407,VVNL,PAID,PAID_TO_SUPPLIER,PAID,2015-03-15 20:27:08.000,2015-03-15 20:29:57.000
8245381,services,1683201,8845022,7704279,,VVNL,PAID,USED,PAID,2014-01-20 23:34:17.000,2014-01-20 23:38:54.000
17721869,services,1683201,20393639,17519498,101874,VVNL,PAID,USED,PAID,2017-10-15 20:01:06.000,2017-10-15 20:02:38.000
25482702,services,9215723,29246014,24113947,118232,VVNL,PAID,PAID_TO_SUPPLIER,PAID,2019-06-16 15:54:41.000,2019-06-16 15:56:22.000
23432668,services,10987629,26976776,,111182,VVNL,PAID,,PAID,2019-01-13 12:58:04.000,2019-01-13 13:00:42.000
9125688,services,1683201,10061570,8631287,,VVNL,PAID,USED,PAID,2014-06-30 12:59:46.000,2014-06-30 13:03:48.000
21704573,services,7760921,25034006,21562951,111623,VVNL,PAID,PAID_TO_SUPPLIER,PAID,2018-09-06 09:44:03.000,2018-09-06 09:44:53.000
25482706,services,9124721,29257570,,118304,VVNL,PAID,,PAID,2019-06-16 15:55:03.000,2019-06-17 09:33:11.000
9157586,services,1683201,10105530,8663424,,VVNL,PAID,PAID_TO_SUPPLIER,PAID,2014-07-05 16:36:35.000,2014-07-05 16:37:34.000
16410527,services,1683201,18842032,16183132,100141,VVNL,PAID,USED,PAID,2017-06-24 20:13:07.000,2017-06-24 20:13:42.000
16410562,services,1683201,18842067,16183170,98990,VVNL,PAID,USED,PAID,2017-06-24 20:16:06.000,2017-06-24 20:16:33.000
17683784,services,1683201,20351001,17482522,102565,VVNL,PAID,USED,PAID,2017-10-12 11:03:05.000,2017-10-12 11:05:01.000
23887621,services,5281351,27484326,,115382,VVNL,PAID,,PAID,2019-02-19 21:36:03.000,2019-02-19 23:26:53.000
20771584,services,10191273,23963406,20617488,107004,VVBDFR,PAID,EXPIRED,PAID,2018-07-12 17:33:04.000,2018-07-12 17:33:17.000
